Time,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90,Age91,Age92,Age93,Age94,Age95,Age96,Age97,Age98,Age99,Age100+,Female_Life_Expectancy_at_Birth_(years)
1950,6365.699,5102.261,4734.949,4491.656,4299.607,4152.128,4042.44,3963.836,3910.3,3875.291,3861.935,3872.456,3827.294,3739.22,3639.747,3576.16,3500.428,3415.51,3328.466,3239.763,3151.198,3061.012,2979.633,2905.7,2834.264,2759.099,2686.778,2622.401,2563.599,2506.903,2449.72,2396.512,2338.241,2276.032,2214.12,2154.428,2090.716,2039.9,1998.987,1956.893,1912.253,1877.347,1809.746,1713.577,1613.567,1527.681,1424.657,1375.368,1358.134,1360.35,1340.909,1342.859,1286.697,1178.882,1058.908,970.218,855.395,812.058,828.935,844.057,839.805,861.541,816.316,717.23,611.405,534.768,437.109,388.357,372.672,384.106,367.862,365.281,345.479,312.254,269.7,243.081,213.238,186.764,165.186,145.272,124.518,105.046,88.422,74.139,61.606,49.921,39.774,31.239,24.234,18.835,13.262,10.287,8.842,6.169,3.614,3.186,3.208,2.381,1.548,0.494,0,40.4
1951,6564.631,5720.988,4774.809,4576.729,4405.905,4249.782,4122.242,4022.671,3947.939,3895.03,3860.117,3846.738,3856.331,3809.894,3720.457,3619.757,3555.072,3478.646,3393.334,3306.035,3217.083,3128.193,3037.645,2955.866,2881.575,2809.942,2734.834,2662.733,2598.619,2540.064,2483.557,2426.479,2373.257,2314.967,2252.763,2190.876,2131.237,2067.69,2016.975,1976.128,1934.195,1889.821,1855.106,1788.06,1692.718,1593.474,1508.041,1405.572,1356.048,1338.052,1339.151,1318.908,1319.695,1263.359,1156.35,1037.5,949.359,835.723,791.995,806.872,819.819,813.787,832.771,786.956,689.463,585.938,510.809,416.04,368.204,351.823,360.89,343.771,339.286,318.723,285.895,244.893,218.757,190.078,164.801,144.199,125.369,106.153,88.391,73.371,60.608,49.565,39.484,30.888,23.788,18.067,13.723,9.423,7.113,5.937,4.018,2.289,1.966,1.923,1.386,0.875,0.271,40.8
1952,6739.698,5916.765,5368.83,4621.705,4492.177,4356.002,4219.578,4102.197,4006.665,3932.765,3880.086,3845.245,3831.083,3839.266,3791.421,3700.925,3599.631,3534.529,3457.995,3372.715,3285.391,3196.272,3107.092,3016.232,2934.129,2859.598,2787.899,2712.924,2641.029,2577.077,2518.591,2462.043,2404.845,2351.416,2292.956,2230.649,2168.717,2109.087,2045.676,1995.042,1954.253,1912.468,1868.315,1833.69,1767.042,1672.324,1573.615,1488.424,1386.367,1336.504,1317.682,1317.644,1296.601,1296.191,1239.628,1133.364,1015.561,927.877,815.401,771.228,784.022,794.749,786.942,803.164,756.83,661.06,559.969,486.448,394.675,347.809,330.755,337.459,319.507,313.167,291.98,259.757,220.535,195.139,167.855,143.978,124.546,106.967,89.396,73.405,60.027,48.797,39.227,30.679,23.53,17.739,13.165,9.751,6.516,4.776,3.868,2.545,1.413,1.179,1.12,0.784,0.625,41.3
1953,6935.082,6091.701,5567.567,5203.586,4539.062,4442.406,4325.385,4199.133,4085.965,3991.478,3917.955,3865.414,3829.881,3814.436,3820.993,3771.916,3680.831,3579.427,3514.251,3437.784,3352.532,3265.065,3175.664,3086.144,2995.001,2912.684,2838.077,2766.447,2691.667,2619.966,2556.091,2497.54,2440.822,2383.41,2329.719,2271.074,2208.686,2146.749,2087.176,2023.954,1973.456,1932.773,1891.147,1847.163,1812.52,1746.107,1651.815,1553.464,1468.392,1366.689,1316.463,1296.828,1295.667,1273.819,1272.152,1215.286,1109.681,992.853,905.574,794.275,749.65,760.327,768.828,759.275,772.743,725.968,632.051,533.522,461.699,373.015,327.169,309.47,313.841,295.1,287.09,265.487,234.112,196.898,172.485,146.79,124.481,106.374,90.175,74.316,60.115,48.377,38.655,30.505,23.388,17.557,12.932,9.359,6.746,4.378,3.114,2.452,1.572,0.847,0.687,0.633,0.761,41.7
1954,7125.848,6282.024,5743.92,5400.809,5111.653,4488.493,4410.4,4303.562,4181.799,4069.976,3976.072,3902.777,3849.545,3812.662,3795.454,3800.162,3749.862,3658.184,3556.525,3490.984,3414.18,3328.529,3240.602,3150.774,3060.939,2969.696,2887.461,2813.081,2741.775,2667.385,2596.004,2532.287,2473.754,2416.979,2359.499,2305.722,2247.094,2184.835,2123.099,2063.782,2000.935,1950.743,1910.286,1868.87,1825.044,1790.308,1724.011,1630.043,1532.002,1447.049,1345.762,1295.251,1274.87,1272.61,1249.946,1246.95,1189.696,1084.7,968.85,881.995,771.965,726.939,735.502,741.795,730.535,741.267,694.145,602.225,506.395,436.365,350.877,306.116,287.822,289.957,270.625,261.149,239.388,209.129,174.137,150.924,126.981,106.373,89.716,74.994,60.881,48.459,38.326,30.059,23.251,17.444,12.793,9.187,6.47,4.53,2.853,1.974,1.514,0.942,0.493,0.388,0.748,42.5
1955,7317.69,6474.961,5940.859,5581.3,5310.614,5057.821,4458.022,4389.57,4287.088,4166.722,4055.517,3961.861,3887.955,3833.531,3795.162,3776.502,3780.031,3729.255,3637.614,3536.147,3470.483,3393.426,3307.412,3219.075,3128.894,3038.863,2947.659,2865.584,2791.408,2720.308,2646.101,2574.779,2510.963,2452.232,2395.23,2337.556,2283.612,2224.945,2162.769,2101.197,2042.104,1979.595,1929.641,1889.295,1847.926,1804.043,1768.965,1702.541,1608.71,1510.855,1425.956,1325.073,1274.271,1253.111,1249.679,1226.085,1221.596,1163.794,1059.307,944.393,857.951,749.243,703.848,710.305,714.406,701.478,709.51,662.113,572.27,479.205,411.019,328.772,285.138,266.288,266.294,246.544,235.848,214.193,185.272,152.649,130.813,108.737,89.915,74.786,61.585,49.199,38.49,29.881,22.972,17.39,12.748,9.116,6.371,4.359,2.963,1.815,1.223,0.911,0.55,0.28,0.605,43
1956,7467.677,6663.772,6135.656,5778.446,5490.537,5255.611,5023.709,4437.005,4372.863,4271.862,4152.212,4041.301,3947.064,3871.981,3816.063,3776.259,3756.465,3759.14,3708.083,3616.502,3515.075,3449.037,3371.516,3285.04,3196.311,3105.926,3015.928,2924.973,2843.191,2769.279,2698.365,2624.269,2552.939,2488.996,2430.078,2372.901,2315.121,2261.115,2202.513,2140.521,2079.207,2020.419,1958.287,1908.554,1868.246,1826.796,1782.684,1747.094,1680.428,1586.68,1489.016,1404.221,1303.806,1252.73,1230.754,1226.061,1201.411,1195.272,1136.826,1032.838,918.911,832.951,725.686,679.985,684.35,686.282,671.731,677.09,629.491,541.824,451.619,385.346,306.431,263.997,244.747,242.8,222.854,211.221,189.942,162.573,132.446,112.138,92.013,75.033,61.48,49.82,39.117,30.038,22.858,17.198,12.719,9.092,6.329,4.298,2.856,1.888,1.126,0.736,0.533,0.313,0.467,43.4
1957,7611.611,6813.605,6325.791,5973.252,5686.763,5434.573,5220.468,5000.15,4420.314,4357.649,4257.357,4138.021,4026.582,3931.259,3854.822,3797.657,3756.981,3736.648,3738.921,3687.842,3596.361,3494.864,3428.332,3350.292,3263.384,3174.392,3083.984,2994.161,2903.502,2821.972,2748.192,2677.281,2603.119,2531.648,2467.489,2408.344,2350.993,2293.13,2239.088,2180.581,2118.801,2057.765,1999.263,1937.437,1887.804,1847.366,1805.625,1761.084,1724.827,1657.826,1564.141,1466.701,1382.049,1282.116,1230.723,1207.836,1201.733,1175.873,1167.934,1108.777,1005.313,892.463,807.076,701.376,655.428,657.708,657.486,641.349,644.05,596.307,510.908,423.653,359.379,283.875,242.792,223.302,219.625,199.733,187.452,166.805,141.172,113.63,94.967,76.843,61.729,49.77,39.637,30.546,22.99,17.12,12.585,9.077,6.316,4.273,2.819,1.822,1.172,0.679,0.431,0.303,0.415,43.7
1958,7748.719,6953,6474.731,6160.32,5878.079,5627.5,5396.713,5194.595,4980.223,4404.152,4342.227,4242.176,4122.157,4009.289,3912.054,3833.614,3774.672,3732.525,3710.911,3711.949,3659.976,3567.799,3465.676,3398.381,3319.843,3232.79,3144.011,3054.106,2964.955,2875.035,2794.131,2720.807,2650.224,2576.348,2505.117,2441.149,2382.198,2325.088,2267.535,2213.824,2155.75,2094.485,2033.97,1975.923,1914.503,1865.003,1824.412,1782.35,1737.382,1700.494,1633.254,1539.782,1442.719,1358.315,1258.934,1207.224,1183.363,1175.749,1148.607,1138.804,1078.963,976.148,864.539,779.862,675.891,629.785,630.017,627.681,610.007,610.072,562.258,479.24,395.069,333.056,261.185,221.62,202.088,196.941,177.352,164.707,144.923,121.178,96.276,79.344,63.241,49.985,39.605,30.955,23.38,17.22,12.528,8.982,6.307,4.266,2.804,1.8,1.132,0.707,0.398,0.245,0.38,44.1
1959,7862.202,7092.788,6619.455,6312.242,6066.037,5819.175,5589.896,5371.247,5175.105,4963.288,4389.733,4327.933,4227.294,4106.27,3992.241,3894.064,3815.149,3756.137,3714.119,3692.566,3693.343,3641.109,3548.654,3446.177,3378.275,3299.324,3212.131,3123.415,3033.689,2944.732,2854.954,2774.009,2700.482,2629.622,2555.497,2484.041,2419.866,2360.758,2303.566,2246.024,2192.365,2134.457,2073.426,2013.12,1955.189,1893.808,1844.058,1802.95,1760.265,1714.632,1676.943,1609.367,1516.04,1419.267,1334.991,1236.021,1183.804,1158.754,1149.426,1120.851,1109.056,1048.507,946.402,836.12,752.217,650.064,603.835,602.005,597.544,578.337,575.75,527.904,447.361,366.327,306.607,238.551,200.691,181.332,174.989,155.938,143.198,124.483,102.739,80.489,65.339,51.239,39.798,30.947,23.706,17.522,12.61,8.949,6.247,4.266,2.805,1.794,1.12,0.685,0.416,0.227,0.334,44.5
